"watershed","site","date","rich","rich_gen","LCBD_rep","LCBD_rich","LCBD_D","LCBD_rep_gen","LCBD_rich_gen","LCBD_D_gen"
"GBJ","STIC11",20230629,8,8,0.0385525100764478,0.0049897076522009,0.0328354222614095,0.0394608807345469,0.00577066627133669,0.032042311890109
"GBJ","STIC13",20230630,14,14,0.0335990727277219,0.0564181433228669,0.0371310815263398,0.0421710861650331,0.0474578172798525,0.0379044030053463
"GBJ","STIC17",20230629,9,9,0.0426650332879116,0.0108354478091797,0.032123147467955,0.0452584899732718,0.00853006123335647,0.0329192806062786
"GBJ","STIC22",20230630,6,6,0.0522587250948326,0.0187780199879706,0.0395681079466664,0.0513648520652867,0.0137378321218104,0.0387503242923
"GBJ","STIC25",20230630,4,4,0.0276417708153802,0.0716555014329815,0.0396401808834029,0.028940275934721,0.0576091346262174,0.0384100743657185
"GBJ","STIC51",20230628,11,10,0.0387013167866206,0.0119171171222885,0.0324570869888469,0.0440054709183446,0.00810173279322114,0.0332159463327229
"GBJ","STIC54",20230628,13,13,0.0254267818375352,0.0397250919222214,0.0328095612349451,0.022342323485647,0.0453021016903091,0.0320669219321286
"GBJ","STIC55",20230628,9,9,0.0314237129248002,0.0073328440156412,0.029619793940383,0.0277167214112217,0.0103503845079341,0.0286357381722447
"GBJ","STIC63",20230628,11,11,0.0352221296950951,0.0190698172631038,0.0326678049302727,0.0311313957259324,0.0247087793881802,0.0317746065475344
"GBJ","STIC66",20230630,9,9,0.0381763771239999,0.0109884109268995,0.0315854880310188,0.0404246539540846,0.00864118925056344,0.0324751307994897
"GBJ","STIC67",20230630,4,4,0.0307654821429478,0.066329062838872,0.0405226565457572,0.0208244076778262,0.0930308627032359,0.0425380451454132
"GBJ","STIC70",20230629,14,14,0.0154348370166113,0.0579356385143301,0.0319577562407424,0.0221611256527728,0.0480448592027126,0.0325326556866036
"GBJ","STIC75",20230628,6,6,0.0387593527084377,0.0220907226010902,0.0350889924826908,0.0375066746974821,0.0173446151021212,0.0340045924105656
"GBJ","STIC76",20230630,14,14,0.01781230047305,0.0573017204278221,0.0327276434988278,0.0248267177098043,0.0475134691543778,0.0333239808397203
"GBJ","STIC78",20230630,8,8,0.0458668590411092,0.00656111142520627,0.0339249207668431,0.0462568511986919,0.00679144662911279,0.0328978572224204
"KNZ","01M02",20210606,11,11,0.024654807461706,0.0338662037761823,0.0299138110129685,0.0264122585929988,0.0265912171769572,0.0288156659612937
"KNZ","01M03",20210609,10,10,0.0434890059423867,0.021266358278663,0.0334480629503694,0.0429105186241724,0.023905124465276,0.0336730831758613
"KNZ","01M05",20210609,10,9,0.0786363904316996,0.00465482106996163,0.0423783168832042,0.080041175227188,0.00569939578854067,0.04284496917566
"KNZ","02M02",20210606,7,7,0.0248663574212302,0.0107006681461279,0.0248909766114069,0.009632512814219,0.0180429490480283,0.0221897040239917
"KNZ","02M03",20210608,4,4,0.00383467936396845,0.0670054099173408,0.033515510009673,0.00452986708866663,0.0664476183421349,0.0336555722938724
"KNZ","02M06",20210608,10,10,0.0422102195928124,0.0227228050828797,0.0328528695312349,0.0415889350418893,0.0253573510856022,0.0330289446261161
"KNZ","02M07",20210608,5,5,0.00310248862744866,0.0370864490977257,0.0249645744714272,0.00379515869076952,0.0357155501562399,0.024866813241916
"KNZ","02M08",20210608,18,16,0.00246628930324858,0.0923844971508398,0.0376889848860852,0.00652135504353806,0.0872712244897664,0.0376340836182916
"KNZ","02M10",20210608,5,5,0.0255080658901354,0.0320527219180115,0.0318276453117587,0.0265416251467887,0.0306759104345936,0.0318892344538748
"KNZ","02M11",20210608,9,7,0.0627974702414791,0.00183241747719205,0.038148405614679,0.0624296553416163,0.00115749999053862,0.0384563361077741
"KNZ","04M01",20210607,6,6,0.0261639518919272,0.0139266837173672,0.0301779373168383,0.0278413774982139,0.0127414953322144,0.0302636071897401
"KNZ","04M03",20210607,11,10,0.027724047482625,0.0232692713371929,0.028850994071489,0.0271158711690646,0.0167232384056382,0.0274544671516768
"KNZ","04M04",20210607,9,9,0.0390818596104699,0.0131344744060621,0.0311812372090592,0.0402344276156258,0.0147280767919083,0.0313557916630743
"KNZ","04M05",20210607,7,7,0.0587815180454452,0.00224001754486264,0.0366758518845545,0.0584754623654138,0.00163430424840559,0.0369046923200427
"KNZ","04M06",20210609,15,15,0.013432441245555,0.0742695445735582,0.0397035271343944,0.0110106732543984,0.0812976006853698,0.0401120793932061
"KNZ","04M07",20210607,11,11,0.0452034568172987,0.0290266032031369,0.0364430426620053,0.0431537547312657,0.0324141885913486,0.0368119718510889
"KNZ","04M08",20210607,12,12,0.0426949966301008,0.0379782955106318,0.0387254704027136,0.0391002887682093,0.0422312122040813,0.0391356587921816
"KNZ","04M09",20210607,5,5,-0.00196351126293505,0.0420597200806233,0.0202202263186445,-0.00162307523467399,0.0405577111479472,0.0198313114621248
"KNZ","04M10",20210607,5,5,0.0724680608484298,0.0211592270523327,0.0446114843438523,0.0752944675392907,0.0200028273913262,0.0451396357189194
"KNZ","04M11",20210607,8,7,0.0560290702261032,0.00206572316064931,0.0364127715495672,0.0559453843264202,0.00151231220883997,0.0367598923834922
"KNZ","04M12",20210607,6,5,0.0372928950339766,0.0289819770101638,0.0357277336205102,0.03897960711518,0.0277536646991334,0.0359815130404277
"KNZ","20M02",20210608,5,5,0.0395706331278097,0.0269773464855508,0.0367299531919071,0.041152791339942,0.0256177352403406,0.0369769404052529
"KNZ","20M04",20210608,8,7,0.0306114953629287,0.0078774129629068,0.0289949453590115,0.0299464197644608,0.00726915863018889,0.02893453735117
"KNZ","20M05",20210608,2,2,-0.027437417336664,0.212008235670809,0.0416942182456291,-0.0273477686840892,0.216984215151336,0.0420631127010305
"KNZ","SFM01",20210604,11,11,0.0412494261596679,0.0320105394594402,0.0348289210297628,0.0392116413127841,0.0356788796368789,0.0351071375111532
"KNZ","SFM02",20210608,8,8,0.0618242804213282,0.00284742232368751,0.0376147616917336,0.0622871175577226,0.00310528588455416,0.0378955614641036
"KNZ","SFM04",20210608,12,12,0.0536069475881939,0.0303439311041646,0.0426230823298785,0.0619842080930538,0.0231770835817339,0.0428340795232518
"KNZ","SFM05",20210608,8,8,0.0780207837577944,0.00131560149101501,0.0413255840321515,0.0784363408511661,0.00138734010287792,0.0416788549415046
"KNZ","SFM07",20210608,4,4,-0.00592070992616809,0.0749356209909205,0.0278291003234912,-0.00560205099529426,0.0743198290881985,0.0277047484579084
"TAL","TLA01",20220610,14,11,0.0313818507701526,0.0183339287967031,0.031555267317352,0.0335891890131432,0.0193277389846005,0.0323459350997596
"TAL","TLA02",20220610,14,14,0.035039294223702,0.00687685824363468,0.0301564842325465,0.0362168143071213,0.00691868245974005,0.0306241861915902
"TAL","TLA04",20220610,14,11,0.0508942475287812,0.0158046654227248,0.0372567131595388,0.0531510496907284,0.0163715292780538,0.0379913408844552
"TAL","TLB01",20220609,12,11,0.0785516068644532,0.00944763819680053,0.0444086696985224,0.0813563176105603,0.00994084542929355,0.0450717854766287
"TAL","TLB02",20220609,9,9,0.0576255423423894,0.0265668741291336,0.0439789714725918,0.0567911236628235,0.0211252178397,0.0413612393179942
"TAL","TLC01",20220609,20,20,0.0349647099159759,0.0190137358189019,0.0321748097929365,0.0360789078638045,0.0175399948634323,0.0322127154104931
"TAL","TLC02",20220609,16,14,0.0725169499478297,0.00364633122612273,0.0402334502795093,0.073668343755281,0.00336037844901941,0.0406198203306644
"TAL","TLC03",20220609,13,10,0.0381229608006563,0.0232736739937973,0.0364939666760116,0.0406426959238417,0.0243174776248094,0.037380619462498
"TAL","TLCG1",20220609,17,15,0.0478313689392705,0.00678365707951391,0.0334882177945222,0.048687629145455,0.00653679115091105,0.0338553806222
"TAL","TLM01",20220609,21,18,0.0339890781478225,0.0117126956251796,0.0304288950900127,0.0338718055515745,0.0106864249417491,0.0306002869645066
"TAL","TLM03",20220609,22,20,0.0347000459372697,0.0190029999042434,0.0320794934192136,0.0358008988364789,0.0174846253208241,0.0321110878619576
"TAL","TLM04",20220609,20,19,0.0408584356532028,0.0120234816331428,0.0331310430416664,0.0310440279894011,0.0177518402071466,0.0305512327165416
"TAL","TLM05",20220609,27,25,0.0261331571055094,0.0416323648580647,0.0356387658140636,0.026418119056687,0.0387821185847736,0.0353555239199586
"TAL","TLM06",20220609,29,25,0.0219554186184584,0.0477857854901718,0.0339459300356115,0.0221866707704389,0.0449677131698168,0.0336979509462324
"TAL","TLM08",20220609,29,27,0.0220769579669241,0.0560673432032593,0.0367152524160113,0.0221010303515098,0.0526248277810073,0.0363331335412508
"TAL","TLM09",20220609,23,20,0.0315234618836229,0.0213759441510804,0.0308148920533993,0.0325619860101971,0.0198127987334935,0.0308460902174367
"TAL","TLM10",20220609,22,21,0.0470774757779208,0.020204293691781,0.0367793589177484,0.0479698836559633,0.018413859320074,0.0366890757293224
"TAL","TLM13",20220610,20,18,0.049157371908901,0.0100144371010142,0.0347772611896768,0.049046639682112,0.00898073156004615,0.0349104135202625
"TAL","TLM14",20220610,13,13,0.0353220611199306,0.00959582187939098,0.0308855891660503,0.0370069550151943,0.00986713899435968,0.0314761601863193
"TAL","TLM15",20220610,25,23,0.0251802293491745,0.0354479893955245,0.0322676188029605,0.025655217516067,0.0332498798979905,0.0321293794268717
"TAL","TLM16",20220610,16,15,0.0374576156036944,0.0063988800902118,0.0306693799160979,0.0383957349200001,0.00613669861418021,0.0310684143179932
"TAL","TLM17",20220610,11,11,0.0503483547479079,0.0142141505739052,0.0374472742559663,0.053022764204113,0.0150059834499776,0.0381848921853339
"TAL","TLM18",20220610,15,14,0.0475971194046331,0.00651697291652014,0.0338710601331539,0.0486116037167245,0.00636895647034653,0.0343312554321741
"TAL","TLM19",20220610,8,7,0.0137513145103148,0.0651812978801073,0.0388641702938821,0.0143518007199841,0.0686630520179302,0.0401212686567493
"TAL","TLM20",20220610,4,4,-0.00425614668235729,0.149924916011125,0.0457488673322019,-0.00502909797943405,0.128874006978887,0.0430181198850232
"TAL","TLM22",20220610,4,2,-0.0261574402620821,0.27876687296743,0.0464341409380486,-0.0295317950122612,0.303815945297005,0.048781834854784
"TAL","TLMG5",20220610,18,18,0.0530211441511941,0.00863537985465502,0.0358535030985405,0.042436197213745,0.0143063297652878,0.0332680391059649
"TAL","TLZ01",20220610,11,8,0.0133358137247481,0.0557510098658608,0.0339009536621621,0.0138974868087474,0.058768412815544,0.0350628177350341
